Biomarker,Protein_Gene_or_Other,Experiment_to_Measure_Biomarker,Type_of_Sample,Predictive_Prognostic_or_Diagnostic,Function_as_Biomarker,Type_of_Cancer_or_Disease,Clinical_Endpoint_or_Characteristic_in_Study,Citation,Year_of_Publication,Country_of_Participants,State_or_Region_in_Country_of_Participants
D-dimer,Protein,Quantitative immunoenzymometric assay,Plasma,Predictive and Prognostic,Predicting response to chemotherapy and tumor progression,Metastatic breast cancer (MBC),Response type (RECIST 1.1) and disease control (DC),"Alkhoder Lubana, et al. ""D-dimer as a Predictive Biomarker of Response to Chemotherapy in Patients With Metastatic Breast Cancer"", Biomarker insights, 2024.",2024,Syria,Homs and Damascus
"MiR-21, MiR-221, and MiR-451",RNA (microRNA),qRT-PCR method,Blood (plasma),Predictive and Prognostic,Indicators of clinical response to neoadjuvant chemotherapy,Breast cancer,"Clinical response (Complete, Partial, Stable, Progression)","Patury Carine Bispo, et al. ""Dysregulation of MiR-21, MiR-221 and MiR-451 During Neoadjuvant Treatment of Breast Cancer - A Prospective Study"", Biomolecules, 2024.",2024,Brazil,Ilhéus and Jequié (Bahia)
"CDKN2A/B, BAP1, and MTAP alterations",DNA,Targeted next generation sequencing (NGS),FFPE tissue or ctDNA from plasma,Predictive,Guiding personalized treatment strategies,Pleural mesothelioma (PM) and thymic epithelial tumors (TET),Clinical trial options and treatment adaptation,"Tagliamento Marco, et al. ""EORTC-SPECTA Arcagen study, comprehensive genomic profiling and treatment adaptation of rare thoracic cancers"", NPJ precision oncology, 2024.",2024,European (8 countries),Various
Cardiac Troponin (hs-TnT),Protein,Roche Elecsys assay,Blood,Predictive,Monitoring for ICI-induced myocarditis,Solid malignancies (receiving ICIs),hs-TnT elevations at treatment visits,"van den Berg Pieter F, et al. ""Elevations of Cardiac Troponin in Patients Receiving Immune Checkpoint Inhibitors - Data From a Prospective Study"", JACC. Advances, 2024.",2024,Not specified,Not specified
Endothelial progenitor cells (EPCs),Other (Circulating cells),Flow cytometry (implied),Blood,Diagnostic and Prognostic,Angiogenic biomarker for diagnosis and prognosis,Lung cancer (LC),Survival rates and tumor response after chemotherapy,"Najjar Fad, et al. ""Endothelial progenitor cells as an angiogenic biomarker for the diagnosis and prognosis of lung cancer"", Reports of practical oncology and radiotherapy, 2024.",2024,Syria,Not specified
N-NOSE (Olfactory index),Other (Biological olfactory response),Chemotaxis analysis of C. elegans,Urine,Diagnostic,Surveillance tool for recurrence,Gastric and esophageal cancers,Detection of recurrence after surgery,"Iitaka Sayuri, et al. ""Evaluation of N-NOSE as a surveillance tool for recurrence in gastric and esophageal cancers - a prospective cohort stud"", BMC cancer, 2024.",2024,Japan,Not specified
Circulating tumor cells (CTCs) and vCTCs,Other (Circulating cells),SMART BIOPSY SYSTEM Isolation and fluorescence microscopy,Whole blood (7.5 mL),Predictive and Prognostic,Assessing efficacy of chemotherapy and prognosis,Pancreatic ductal adenocarcinoma (PDAC),"Chemotherapy response, OS, and PFS","Lee Hee Seung, et al. ""Phenotypic characteristics of circulating tumor cells and predictive impact for efficacy of chemotherapy in patients wit"", Frontiers in oncology, 2023.",2023,Korea,Seoul
Circulating Tumor Cells (CTCs) (?5 CTCs/7.5 mL),Other (Circulating cells),CellSearch system and double immunofluorescence,Peripheral blood (PB),Prognostic,Predicting survival and monitoring treatment efficacy,Metastatic Castration-Resistant Prostate Cancer (mCRPC),Overall Survival (OS) and Progression-Free Survival (PFS),"Koinis Filippos, et al. ""Prognostic Role of Circulating Tumor Cells in Patients with Metastatic Castration-Resistant Prostate Cancer Receiving Ca"", Cancers, 2023.",2023,Greece,Multiple regions
Neutrophil-Lymphocyte Ratio (NLR),Other (Hematological ratio),Statistical analysis of blood counts post-adjuvant treatment,Blood,Prognostic,Predicting overall survival and treatment response,High-Grade Glioma,Overall survival (OS) from initial histological diagnosis,"S, et al. ""Prognostic Significance of Neutrophil-Lymphocyte Ratio in Patients of High-Grade Glioma Undergoing Adjuvant Chemoradiati"", APJCP, 2023.",2023,India,Guwahati
MiR-29a,RNA (microRNA),Taqman Reverse Transcriptase kit and qPCR,Plasma,Prognostic,Improving risk stratification and prognosis,Chronic lymphocytic leukemia (CLL),Time to first treatment (TTFT),"Aref Salah, et al. ""Prognostic Value of Plasma miR-29a Evaluation in Chronic Lymphocytic Leukemia Patients"", APJCP, 2023.",2023,Egypt,Mansoura
"EGFR mutation (Exon 19 deletion, Exon 21 L858R)",DNA,Comprehensive genomic profiling (EXTRA study),Peripheral blood (exosomes),Predictive,Predicting afatinib efficacy and longer OS,Nonsmall cell lung cancer (NSCLC),"Objective response rate (ORR), PFS, and OS","Takata Saori, et al. ""Prospective exosome-focused translational research for afatinib (EXTRA) study of patients with nonsmall cell lung cancer"", TAM, 2023.",2023,Japan,Hiroshima and Tokyo
Inflammatory burden index (IBI),Other (Hematological index),Multivariable Cox proportional hazards regression,Fasting venous blood,Prognostic,Assessing systemic inflammatory state and survival,Non-small cell lung cancer (NSCLC),"Overall survival (OS), 90-day outcomes, and cachexia","Xie Hailu, et al. ""The inflammatory burden index is a superior systemic inflammation biomarker for the prognosis of non-small cell lung can"", JCSM, 2023.",2023,China,Beijing and multiple centers
Mean cfDNA fragment size,DNA,Agilent 2200 TapeStation System and dsDNA Assay,Peripheral blood (plasma),Diagnostic and Prognostic,Correlation with tumor burden,Prostate cancer (Biochemical recurrence),wbPSMA-TV40 and PSA levels,"Amseian Gary, et al. ""cfDNA fragmentation patterns correlate with tumor burden measured via PSMA PET-CT volumetric parameters in patients with"", EJNMMI research, 2024.",2024,Spain,Barcelona
"frizzled 4 (FZD4), ribosomal protein S7 (PRS7), ribosomal protein L29 (RPL29), miR-374c, miR-9, and miR-6510",mRNA and RNA (miRNA),RNA-sequencing and contrast-enhanced ultrasound (CEUS) radiomics,Biopsy specimens,Diagnostic,Distinguishing locally advanced (T3b) PCa from organ-confined (T2c) disease,Prostate cancer (PCa),AUC = 0.887-0.996 for machine learning models at the T2c/T3b staging boundary,"Yang Q, Tang P, et al. A New Radiotranscriptomic Approach to Analyze Combined Sets of T3b Stage-Specific Genes and Radiomic Features in Prostate Cancer",2025,China,Beijing
"miR-21, miR-29a, and miR-92a",RNA (miRNA),Normalization with endogenous control miR-1228 and qPCR,Blood,Diagnostic,Non-invasive diagnosis and comparison with healthy volunteers,Colorectal cancer (CRC),Significant upregulation in CRC (p < 0.001) in Moroccan participants,"Fathi S, Aazzane O, et al. A miRNA Signature for Non-Invasive Colorectal Cancer Diagnosis in Morocco: miR-21, miR-29a and miR-92a",2025,Morocco,Casablanca
CDH13 Exon 1 hypermethylation (CpG sites 1 & 5),DNA,BSAS method (bisulfite treatment and sequencing),Paraffin-embedded CRC tissues,Prognostic,Prediction of distant metastasis and decreased overall survival,Colorectal cancer (CRC),Site 1 hypermethylation OR: 7.60 for distant metastasis; combined Sites 1 & 5 OR: 9.75,"Xiang PC, Li PJ, et al. Exon 1 methylation status of CDH13 is associated with decreased overall survival and distant metastasis in patients with colorectal cancer",2024,China,Shanghai
Cell surface vimentin (CSV),Protein,84-1 monoclonal antibody targeted approach for CTC capture and immunofluorescence,Peripheral blood mononuclear cells (PBMCs),Prognostic,"Monitoring therapeutic response, predicting disease relapse, and identifying mesenchymal tumor cells",Gastric cancer (GC),CSV+CTC counts correlated with progression-free survival (p=0.005) and OS (p=0.0002),Li et al. Exploring new frontiers - cell surface vimentin as an emerging marker for circulating tumor cells and a promising therapeutic target in gastric cancer,2024,China,Liaoning
p16INK4a,RNA (CDKN2A),Taqman qPCR using a real time thermocycler,CD3+ PBMCs,Other (Aging/Senescence),Marker for cellular senescence and biological aging associated with frailty,Breast cancer (BC) and hematologic malignancies,Association with diminished physical performance and quality of life in cancer survivors,"El Jurdi N, Te Hok S, et al. Frailty and pre-frailty associated with long-term diminished physical performance and quality of life in breast cancer and hematologic malignancy",2024,USA,Minnesota
C-C motif chemokine ligand 20 (CCL20),Protein (Chemokine),Enzyme-linked immunosorbent assay (ELISA),Serum,Prognostic,"Prediction of immunotherapy resistance, recurrence, and unfavorable overall survival",Advanced melanoma,"High CCL20 (?0.34 pg/mL) associated with impaired PFS (HR: 1.99, p=0.007) and OS (p=0.042)","Kött J, Hoehne IL, et al. High Serum Levels of CCL20 Are Associated with Recurrence and Unfavorable Overall Survival in Advanced Melanoma Patients Receiving Immunotherapy",2024,Germany,Hamburg
PD-L1 expression on immune cells and tumor-infiltrating lymphocytes (TIL) density,Protein,Immunohistochemical (IHC) staining using customised protocols,Pretreatment paraffin-embedded tissue,Prognostic,Interaction of biomarkers predicts favorable outcome and survival,Head and neck squamous cell carcinoma (HNSCC),Interaction shown to be strong prognostic factor independent of smoking or radiotherapy regimen,"Blažek T, Petráš M, et al. High PD-L1 expression on immune cells along with increased density of tumor-infiltrating lymphocytes predicts a favorable outcome in head and neck cancer",2024,Not explicitly mentioned in title/abstract; Source citation references Czech authors,Not explicitly mentioned
REG1A and REG1B,Protein,"Proximity extension assay (PEA) of 1,463 serum proteins",Serum,Diagnostic,Early detection of incident PC risk several years prior to clinical diagnosis,Pancreatic cancer (PC),Effect sizes increase as diagnosis time approaches baseline in DFTJ and UKB-PPP cohorts,"Lyu J, Jiang M, et al. Identification of biomarkers and potential therapeutic targets for pancreatic cancer by proteomic analysis in two prospective cohorts",2024,China and United Kingdom,Not explicitly mentioned
Serum growth differentiation factor 15 (GDF-15) and Interleukin-6 (IL-6),Protein,ELISA kits,Serum,Prognostic,Prediction of treatment outcomes in patients undergoing second-line nivolumab therapy,"NSCLC, renal cell carcinoma (RCC), or malignant melanoma","Elevated GDF-15 associated with shorter PFS (HR: 0.55, p=0.032) and OS (HR: 0.47, p=0.020), and cachexia","Akdogan O, Turkmen S, et al. Impact of Serum GDF-15 and IL-6 on Immunotherapy Response in Cancer: A Prospective Study",2024,Turkey,Ankara
Interleukin-6 (IL-6),Protein,Measured at baseline and before cycles using Pilot group assays,Serum,Predictive,Predictor of pathological response to neoadjuvant chemotherapy (FLOT regimen),Gastric cancer (GC) or gastroesophageal junction (GEJ) cancer,IL-6 < 5.0 pg/mL before cycle 2 predicted complete pathological response (pCR) and tumor regression,"Marcisz-Grzanka K, Kotowicz B, et al. Interleukin-6 as a Predictive Factor of Pathological Response to FLOT Regimen Systemic Treatment in Locally Advanced Gastroesophageal Junction or Gastric Cancer Patients",2024,Poland,Warsaw
Long Noncoding RNAs MALAT1 and HOTTIP,RNA,qRT-PCR using preheated elution solution,Cell-free plasma/serum,Diagnostic and Predictive,MALAT1 suggests shorter OS; HOTTIP associated with metastasis and effective diagnosis compared to AFP,Hepatocellular carcinoma (HCC),AUC of 0.968 for combined panel (MALAT1+HOTTIP+AFP) in 3-year OS analysis,"Bao H, Jiang Y, et al. Long Noncoding RNAs MALAT1 and HOTTIP Act as Serum Biomarkers for Hepatocellular Carcinoma",2024,China,Not explicitly mentioned
CD8 and FoxP3,Protein,Chromogen-based double immunohistochemical assay analyzed via machine learning,Lungs biopsy specimens,Predictive,Predicting 1-year progression-free survival (PFS) of chemoimmunotherapy,Small-cell lung cancer (SCLC),Machine learning AUC (0.782) superior to manual count (0.567-0.681),"Shibaki R, Fujimoto D, et al. Machine learning analysis of pathological images to predict 1- year progression- free survival of immunotherapy in patients with small- cell lung cancer",2024,Japan,Not explicitly mentioned
"Plasma-derived exosome (PEX) mRNA signature (6 genes: HLA-E, ACTB, MPIG6B, RABL2B, TNFRSF13C, ZNF480)",RNA,Pretreatment plasma analysis and RT-qPCR,Plasma,Diagnostic/Prognostic,Companion diagnostic for nivolumab to segregate non-survivors from >2-year survivors,Head and neck squamous cell carcinoma (RM-HNSCC),Combination plus NLR distinguished non-survivors (2-year OS 0%) from survivors (2-year OS 36.8%),"Sato K, Toh S, et al. Nationwide multi-centric prospective study for the identification of biomarkers... pretreatment plasma exosome mRNAs from head and neck cancer patients (BIONEXT study)",2025,Japan,Not explicitly mentioned
miR-25-3p and miR-23b-3p,RNA,RNA sequencing and Mann-Whitney U test,Plasma exosomes,Predictive,Predictors of response to radical concurrent chemoradiotherapy (CRT),Esophageal squamous cell carcinoma (ESCC),miR-25-3p (AUC=0.825) and miR-23b-3p (AUC=0.791) predict treatment response and PFS,Zhang et al. Plasma-derived Exosomal miR-25-3p and miR-23b-3p as Predictors of Response to Chemoradiotherapy in Esophageal Squamous Cell Carcinoma,2024,China,Zhejiang
"Individualized circulating tumor DNA (TERT, FGFR3, TP53, HRAS)",DNA,dPCR and next-generation sequencing (NGS),Plasma and urine,Diagnostic,Postoperative recurrence detection and early monitoring,Upper tract urothelial carcinoma (UTUC),Mutations detected in 48% of plasma and 87% of preoperative urine samples,"Tamura D, Abe M, et al. Postoperative recurrence detection using individualized circulating tumor DNA in upper tract urothelial carcinoma",2024,Japan,"Yahaba, Iwate"
"28 liver cancer-associated metabolites (e.g., creatine, tyrosine, primary bile acids)",Other (Metabolites),Mass spectrometry-based targeted metabolomics and LASSO logistic regression,Prediagnostic plasma samples,Predictive,Candidate risk predictors for liver cancer up to 14 years prior to diagnosis,Liver cancer (predominantly HCC),Metabolic score consisting of 10 metabolites improved risk prediction,"Li ZY, Shen QM, et al. Prediagnostic plasma metabolite concentrations and liver cancer risk - a population-based study of Chinese men",2024,China,Shanghai
Serum NY-ESO-1 antibody,Protein (Antibody),Serial Evaluation every 3 months for 1 year postoperatively,Serum (Blood),Predictive,Predictive marker for postoperative recurrence,Gastric cancer,NY-ESO-1 antibody positivity at 12 months postoperatively associated with shorter recurrence-free interval (P < 0.001),"Saito T, Kurokawa Y, et al. Serum NY-ESO-1 antibody as a predictive biomarker for postoperative recurrence of gastric cancer - a multicenter prospective study",2024,Japan,Osaka
SLC22A17 mRNA,RNA,Quantitative RT-PCR using the relative level 2-??Ct method,Plasma and tumor tissues,Diagnostic and Prognostic,High plasma levels associated with lymph node metastasis and shorter overall survival,Non-small cell lung cancer (NSCLC),AUC = 0.842 for noninvasive diagnostic accuracy; associated with N2-N3 metastasis,"The mRNA of solute carrier family 22, member 17 (SLC22A17) plays the potential diagnostic and prognostic role in advantage non-small cell lung cancer",2024,Not explicitly mentioned in title/abstract; Source references Chinese authors,Not explicitly mentioned
EV-miR-200 family members,RNA,Small RNA sequencing and RT-qPCR,Plasma extracellular vesicles (EVs),Diagnostic,Discriminate PDAC from benign pancreaticobiliary disease,Pancreatic ductal adenocarcinoma (PDAC),Combined expression AUC of 0.97 in clinical validation cohort,Liu et al. Unlocking the diagnostic power of plasma extracellular vesicle miR-200 family in pancreatic ductal adenocarcinoma,2024,"United Kingdom, Netherlands, Italy, Denmark","London, Amsterdam, Pisa, Aarhus"
GALAD,Other (Integrative Model),Microchip capillary electrophoresis and liquid-phase binding assay,Serum,Diagnostic,Detection of Hepatocellular Carcinoma (HCC),Hepatocellular Carcinoma in Cirrhosis,Sensitivity and specificity for HCC detection within 12 months prior to diagnosis,"Marsh, T. L., et al. (2025). A Phase 3 Biomarker Validation of GALAD for the Detection of Hepatocellular Carcinoma in Cirrhosis. Gastroenterology.",2025,United States,Washington (Seattle) and multiple multicenter sites
uPSA and uZinc,Protein (uPSA) and Other (uZinc),Colorimetric strip assay / Lateral flow biosensor,Urine,Diagnostic,Enhance prostate cancer diagnosis and stratify risk,Prostate Cancer,Biopsy recommendation and diagnosis of PCa vs negative biopsy results,"Amparore, D., et al. (2025). A rapid urinary test for combining PSA and zinc to enhance prostate cancer diagnosis - results from a prospective study. Prostate Cancer and Prostatic Diseases.",2025,Italy,Not explicitly mentioned
Intra-tumoral Tertiary Lymphoid Structures (TLSs),Other (Histological structures),Intravoxel Incoherent Motion (IVIM) MRI sequence,MRI Scan (In situ),Predictive,Serving as a pre-operative predictive biomarker of intra-tumoral TLS status,Hepatocellular Carcinoma,Recurrence-free survival (RFS) superior in patients with TLSs,"Ma, L., Liao, S., et al. (2025). Application of Intravoxel Incoherent Motion in the Prediction of Intra-Tumoral Tertiary Lymphoid Structures in Hepatocellular Carcinoma. Journal of Hepatocellular Carcinoma.",2025,China,Guangzhou (Sun-Yat Sen University)
N-NOSE (specifically IRS3),Other (Chemotaxis Index),Caenorhabditis elegans chemotaxis analysis,Urine,Predictive,Predict response to Neoadjuvant Chemotherapy (NAC),Breast Cancer,Pathological complete response (pCR),"Tokumaru, Y., et al. (2025). Application of N-NOSE for Evaluating the Response to Neoadjuvant Chemotherapy in Breast Cancer Patients. Cells.",2025,Japan,Gifu
PD-L1 expression,Protein,Immunohistochemistry (Ventana SP263 antibody clone),"Fine-needle aspirates (FNAs), core biopsies, and resection specimens",Predictive,Prediction of response to immune-checkpoint blockade,Non-small cell lung carcinoma (NSCLC),"Tumor Proportion Score (TPS) with clinical relevant categories of <1%, 1-49%, and ?50%","Haragan, A., et al. (2025). Assessing PD-L1 expression in non-small cell lung carcinoma: a prospective study of matched fine-needle aspirates, core biopsies, and resection specimens using alcohol and forming fixatives. The Journal of Pathology: Clinical Research.",2025,UK,Liverpool
Neutrophil-to-lymphocyte ratio (NLR),Other (Blood cell ratio),Calculation from absolute neutrophil and lymphocyte counts,Peripheral blood,Prognostic,Predict short-term urinary Quality of Life (QoL) during BCG treatment,Non-Muscle-Invasive Bladder Cancer (NMIBC),Deterioration in IPSS-related QoL at 8 weeks post-BCG induction,"Spirito, L., et al. (2025). Association Between Baseline Neutrophil-to-Lymphocyte Ratio and Short-Term Urinary Quality of Life During BCG Induction in Male Patients with Non-Muscle-Invasive Bladder Cancer: A Prospective Observational Study. J. Clin. Med.",2025,Not explicitly mentioned,Not explicitly mentioned
Chromogranin A (CgA) and Carboxypeptidase E (CPE),Protein,Association Rule Mining (ARM) applied to plasma protein data,Plasma,Prognostic,Characterize progressive disease (PD) versus stable disease (SD),Neuroendocrine Tumors (siNET and pNET),Progressive disease or stable disease within 3 years of follow-up,"Knigge, U. P., et al. (2025). Association rule mining of clinical and biomarker data in neuroendocrine tumors: A prospective study on disease progression. Journal of Neuroendocrinology. [title, 111, 116]",2025,"Denmark, Finland, Norway, Sweden, Lithuania, Estonia, and Latvia",Multicenter
Presepsin,Protein,Targeted biomarker analysis,Not explicitly mentioned,Diagnostic and Prognostic,Assessment of treatment outcomes in Febrile Neutropenia,Lymphomas with Febrile Neutropenia,Treatment outcomes and FN development during active chemotherapy,"Mišura Jakobac, K., et al. (2025). Biomarkers Affecting Treatment Outcomes of Febrile Neutropenia in Hematological Patients with Lymphomas: Is Presepsin the New Promising Diagnostic and Prognostic Biomarker? Journal of Clinical Medicine.",2025,Not explicitly mentioned,Not explicitly mentioned
Neurofilament light chain (NFL),Protein,Immunoassay (Simoa technology or similar),Serum,Diagnostic,Biomarker for acute neurotoxic damage/sensorimotor impairment,Chemotherapy-induced polyneuropathy (CIPN),Subjective neuropathy symptoms and nerve conduction measurement (NCS) throughout curative or continuous treatment,"Stephan, L. U., et al. (2025). Chemotherapy-induced polyneuropathy - diagnostic challenges and the potential of neurofilament as a biomarker for sensorimotor impairment. Journal of Neurology.",2025,Germany,Berlin
SOX11 methylation (ctDNA SOX11-RMV),DNA,Quantitative methylation-specific PCR (qMSP),Plasma (ctDNA),Prognostic,Stratification of Recurrence-Free Survival (RFS),Locally-Advanced Rectal Cancer (LARC),RFS rates comparison between high and low Relative Methylation Values (RMV),"Sugimoto, K., et al. (2025). Circulating Tumor DNA Methylation Is a Biomarker of Poor Recurrence-free Survival in Locally-Advanced Rectal Cancer. Anticancer Research. [title, 153, 156]",2025,Japan,Not explicitly mentioned
Circulating tumor DNA (ctDNA),DNA,Targeted Next-Generation Sequencing (NGS) (Roche AVENIO panel),Plasma and tumor tissue,Prognostic,Investigate tumor burden and prediction of OS and PFS,Resectable Gastric Cancer (GC),3-year survival status; Overall Survival (OS) and Progression-Free Survival (PFS),"Liu, Z., et al. (2025). Circulating tumor DNA analysis for prediction of prognosis and molecular insights in patients with resectable gastric cancer: results from a prospective study. MedComm. [title, 180, 195]",2025,China,Shanghai
ctDNA MRD (Labcorp® Plasma Detect™),DNA,Whole Genome Sequencing (WGS)-based tumour-informed test,Plasma,Prognostic,Detection of minimal residual disease (MRD) after surgery or ACT,Stage III Colon Cancer,3-year recurrence rate comparison between ctDNA-positive and ctDNA-negative patients,"Rubio-Alarcón, C., Georgiadis, A., et al. (2025). Circulating tumour DNA in patients with stage III colon cancer - multicentre prospective PROVENC3 study. The British Journal of Surgery. [title, 213]",2025,The Netherlands,Multicentre
PROSTest,Gene (RNA),RT-qPCR (27-mRNA gene expression algorithm),Whole blood,Diagnostic,PCA detection and correlation with Poorer OS/MRD,Prostate Cancer,Sensitivity and specificity (90% threshold) distinguishing PCa from controls,"Rahbar, K., et al. (2025). Clinical Sensitivity and Specificity of the PROSTest in an American Cohort. The Prostate. [title, 230, 234]",2025,USA,Connecticut
lncRNA UCA1,RNA,qRT-PCR (SYBR Green),Formalin-fixed paraffin-embedded (FFPE) tissue,Diagnostic,Differentiation of benign (EP) from malignant (EC) lesions,Endometrial Cancer (EC) versus Endometrial Polyp (EP),Area under the curve (AUC = 0.98) for EC vs. Control diagnosis,"Bulbul, C. B., et al. (2025). Comparison of Long Non-Coding RNA Expressions in Endometrial Polyp and Endometrial Cancer Cases. Diagnostics. [title, 246, 250]",2025,Türkiye,Balikesir
"Comprehensive Genomic Profiling (CGP) features (TMB, MSI, sBRCA)",DNA and RNA,Targeted hybrid capture-based NGS (TruSight Oncology 500),FFPE and fresh tumor tissue,Predictive and Prognostic,Personalized genomics-driven treatment recommendation,Solid Tumors (Multicancer cohort),Change in therapy based on CGP and multidisciplinary molecular tumor board (MTB) recommendations,"Ghosh, M., et al. (2025). Comprehensive genomic profiling reveals a unique genomic landscape in solid tumors in an Indian cancer cohort of 1000 patients: a single institutional experience. Scientific Reports. [title, 272]",2025,India,"Bangalore, Karnataka"
Daxx,DNA (CNV) and Protein (IHC),Whole Exome Sequencing (WES) and Immunohistochemistry (IHC),Endoscopic biopsies and postsurgical tumor specimens,Predictive,Predict response to Neoadjuvant Chemoradiotherapy (NACRT),Locally Advanced Rectal Cancer (LARC),Tumor regression grade (TRG) and survival benefit (DFS),"Zhu, X., et al. (2025). Daxx Variation as a Potential Predictive Marker of the Therapeutic Response to Neoadjuvant Chemoradiotherapy in Locally Advanced Rectal Cancer. Cancer Medicine. [title, 306]",2025,China,Nanjing
Metabolic Signatures,Other (Metabolites),Random forest model / untargeted metabolomics,Serum,Diagnostic,Progression monitoring from hepatitis to cirrhosis to HCC,"Chronic Hepatitis B (CHB), Cirrhosis (HBC), and HCC",Diagnostic performance (AUC) in distinguishing disease stages,"Yu, S., et al. (2025). Detection of metabolic signatures implicated in the progression from hepatitis to cirrhosis to hepatocellular carcinoma. iLIVER. [title, 325, 327]",2025,China,Beijing
"PRIME (comprising CYFRA-211, AFP, CEA, HBsAg)",Other (Integrative Risk Model),LASSO-based feature selection / supervised machine learning,Blood,Diagnostic,Penta-cancer early risk identification and stratification,"Multi-cancer (Lung, esophageal, gastric, liver, colorectal)",5-year incidence probability and yield rate of cancer/precancerous lesions,"Zhao, R., et al. (2025). Development and validation of an integrative 54 biomarker-based risk identification model for multi-cancer in 42,666 individuals: a population-based prospective study to guide advanced screening strategies. Biomarker Research. [title, 331, 341]",2025,China,Taizhou
PSMA,Protein,[68Ga]Ga-PSMA-11 PET/MRI,PET/MRI Scan (In situ),Diagnostic,Characterizing indeterminate LI-RADS 3 observations,Hepatocellular Carcinoma (HCC),Classification of observations as HCC (upgrade to LR-4/5 or growth) or benign stability within 12 months,"Catalano, O. A., et al. (2025). Diagnostic Performance of PSMA PET-MRI in Characterizing LI-RADS 3 Observations in Patients. Journal of Nuclear Medicine. [title, 372, 374]",2025,Not explicitly mentioned,Not explicitly mentioned
methylated PENK gene,DNA,Earlytect BCD assay (LTE-qMSP),Urine,Diagnostic,Non-invasive detection of urothelial carcinoma,Urothelial Carcinoma (Bladder and UTUC),Sensitivity (94.1%) and specificity (95.8%) for UC detection vs other cancers,"Lee, S., et al. (2025). Diagnostic accuracy of urinary PENK methylation test for urothelial and other cancers: A prospective study. Scientific Reports. [title, 378, 385]",2025,South Korea,Seoul
hPG80 (circulating progastrin),Protein,ELISA assay (DxPG80.Lab kit),Blood,Diagnostic,Evaluation across multiple (16) cancer types,"Multi-cancer cohort (Lung, Breast, HCC, etc.)",Area under the ROC curve (AUC = 0.63) comparing baseline cancer levels to healthy subjects,"You, B., et al. (2025). Diagnostic value of the wnt target and cancer-associated blood biomarker hPG80: ONCOPRO case-control prospective study. Biomarker Research. [title, 398, 416]",2025,France,Lyon
ctHPVDNA (HPV WGS),DNA,HPV-DeepSeek (WGS hybrid capture),Blood/Plasma,Diagnostic,Early detection and diagnostic accuracy improvement,HPV-associated Head and Neck Cancer (HPV+HNSCC),"Sensitivity, specificity, and Positive Predictive Value (PPV) modeled for screening efficiency","Bryan, et al. (2025). Direct Comparison of Alternative Blood-Based Approaches for Early Detection and Diagnosis of HPV-associated Head and Neck Cancers. Clinical Cancer Research. [title, 429, 437]",2025,USA,Massachusetts
Early tumor volume reduction,Other (Imaging Metric),Dynamic Contrast-Enhanced (DCE) MRI,MRI Scan (In situ),Predictive,Prediction of pathologic complete response (pCR) to Neoadjuvant Systemic Therapy (NAST),Triple Negative Breast Cancer (TNBC),pCR defined as no residual invasive disease (ypT0/ypTis/ypN0),"Guirguis, M. S., et al. (2025). Early tumor volume reduction by breast DCE MRI predicts pathologic complete response to neoadjuvant therapy in triple negative breast cancer. NPJ Breast Cancer. [title, 460]",2025,USA,Texas (Houston)
KRAS signaling pathway,Gene (Activation status),RNA sequencing (Transcriptomic analysis),Blood or bone marrow,Predictive,Association with outcomes in blast phase patients,Chronic Myeloid Leukemia (CML) in myeloid blast phase,Attainment (or loss) of Major Hematologic Response (MaHR); progression-free survival,"Bao, M., et al. (2025). Efficacy, safety and predictive biomarker of third-generation tyrosine kinase inhibitors with azacitidine in myeloid blast phase of chronic myeloid leukemia. Cancer. [title, 473]",2025,China,Not explicitly mentioned
Serum spectral signature (MIRS),Other (Metabolomic fingerprint),Mid-infrared spectroscopy (MIRS),Serum,Prognostic,Metabolomic fingerprinting for risk of disease progression,Metastatic Colorectal Cancer (mCRC),Progression-free survival (PFS) and Overall Survival (OS),"Chautard, R., et al. (2025). Evaluation of serum mid-infrared spectroscopy as new prognostic marker for first-line bevacizumab-based chemotherapy in metastatic colorectal cancer. Digestive and Liver Disease. [title, 492, 508]",2025,France,Tours
lncRNA OIP5 and CCAT1,RNA,Reverse transcription polymerase chain reaction (RT-PCR),Tissue biopsy and plasma,Predictive,Association with radiotherapy resistance,Oral Squamous Cell Carcinoma (OSCC),"Treatment response categorization (CR, PR, SD, PD) as per RECIST 1.1","An, G., et al. (2025). Expression of Long Non-coding RNA in Oral Squamous Cell Carcinoma and Its Implication in Response to Radiation Therapy. Cureus. [title, 517, 521]",2025,India,"Madurai, Tamil Nadu"
Fibulin-3,Protein,Soluble protein measurement,Plasma and Pleural Effusion,Diagnostic and Prognostic,Enhancing diagnostic accuracy and monitoring therapeutic response,Malignant Pleural Mesothelioma (MPM),Suspicious cytology; Screen at-risk populations and asbestos-exposed individuals,"Adamic, K., et al. (2025). Fibulin-3 in plasma and pleural effusion as a biomarker of mesothelioma. Radiology and Oncology.",2025,Not explicitly mentioned,Not explicitly mentioned
Hepcidin,Protein,HS competitive-ELISA kit,Cerebrospinal fluid (CSF) and serum,Diagnostic and Prognostic,Predict presence and outcome of LMD in metastatic patients,Leptomeningeal Metastases (LMD) in Breast Cancer,AUC comparison for LMD detection vs CSF cytology gold standard; OS and neurological degradation-free survival,"Delaby, C., et al. (2025). Hepcidin as an emerging predictor biomarker of leptomeningeal metastases in patients with metastatic breast cancer. BMC Cancer. [title, 554]",2025,France,Montpellier
